organization,occurredAt,customerId,customerName,serviceLocationId,serviceLocationDescription,containerId,containerDescription,containerContentType,containerCubicYards,level,wasEmptied,emptyOccurredAt,levelAtEmpty,latitude,longitude,positionAccuracy,imageUrl
universityofmaryland,2020-03-04T04:18:32.569Z,,University of Maryland,03,Denton Hall,Z1Y5KFA5H3NA,04,refuse,6,45,f,,,38.992359,-76.950668,18,https://images.compology.com/1/raw_device_data/f72327fa-9b92-4c20-8946-731ddaa23339
universityofmaryland,2020-03-04T04:19:26.671Z,,University of Maryland,05,UM Technology Ventures,7NGF1MRE6SKT,10,refuse,6,20,f,,,38.979122,-76.925369,21,https://images.compology.com/1/raw_device_data/3d25fa3e-5fec-4b74-b468-15185e60bde9
universityofmaryland,2020-03-04T04:19:47.707Z,,University of Maryland,03,Denton Hall,E5RGSTA85A03,03,recycle,8,42,f,,,38.992313,-76.950592,8.6,https://images.compology.com/1/raw_device_data/061bdffc-2967-45d3-a3c9-909fb8837254
universityofmaryland,2020-03-04T04:20:31.378Z,,University of Maryland,04,Patapsco Building,TBCCR5C8TCBR,08,refuse,8,27,f,,,38.976696,-76.925201,7.5,https://images.compology.com/1/raw_device_data/f31e224b-48b2-4c66-bd71-8d4da75f2cdc
universityofmaryland,2020-03-04T09:55:46.170Z,,University of Maryland,01,Gosset Football Teamhouse,J6MMBE75XVYA,01,recycle,8,0,t,2020-03-04T09:55:46.000Z,10,38.990184,-76.945831,12,https://images.compology.com/1/raw_device_data/0cea2c17-568e-42bd-a765-62b28094ec9f
universityofmaryland,2020-03-04T09:57:54.403Z,,University of Maryland,03,Denton Hall,E5RGSTA85A03,03,recycle,8,0,t,2020-03-04T09:57:54.000Z,42,38.992195,-76.950729,20,https://images.compology.com/1/raw_device_data/16cfedb1-6a81-4397-bed2-d5245a44431f
universityofmaryland,2020-03-04T17:26:38.540Z,,University of Maryland,04,Patapsco Building,TBCCR5C8TCBR,08,refuse,8,15,f,,,38.976459,-76.925437,18,https://images.compology.com/1/raw_device_data/ff067239-c424-499f-a6d7-44820f81cb8f
universityofmaryland,2020-03-04T17:27:03.055Z,,University of Maryland,05,UM Technology Ventures,DM5S9RVP4WFG,09,recycle,8,5,f,,,38.979312,-76.925514,6.1,https://images.compology.com/1/raw_device_data/ff8e5743-0e66-4d29-94b4-133171779459
universityofmaryland,2020-03-04T17:27:13.635Z,,University of Maryland,03,Denton Hall,Z1Y5KFA5H3NA,04,refuse,6,60,f,,,38.99242,-76.950485,15,https://images.compology.com/1/raw_device_data/8db94ee8-b3ee-4437-95cf-5a117fbd6cdf
universityofmaryland,2020-03-04T17:28:17.931Z,,University of Maryland,01,Gosset Football Teamhouse,J6MMBE75XVYA,01,recycle,8,7,f,,,38.990139,-76.94564,10,https://images.compology.com/1/raw_device_data/69134a4d-7fe1-4f2e-9414-27d4f64e8414
universityofmaryland,2020-03-04T17:29:16.684Z,,University of Maryland,05,UM Technology Ventures,7NGF1MRE6SKT,10,refuse,6,20,f,,,38.97829,-76.926254,26,https://images.compology.com/1/raw_device_data/f3090d25-120c-490d-86f7-e30772c5e547
universityofmaryland,2020-03-04T17:30:06.014Z,,University of Maryland,03,Denton Hall,E5RGSTA85A03,03,recycle,8,30,f,,,38.992385,-76.950569,11,https://images.compology.com/1/raw_device_data/c4af46bf-f45d-4c0f-8bc8-c304129d4acb
universityofmaryland,2020-03-04T17:30:15.962Z,,University of Maryland,04,Patapsco Building,QK633SDAVXXC,07,recycle,8,2,f,,,38.976619,-76.925262,5.8,https://images.compology.com/1/raw_device_data/ba34d9cb-a45b-4ca2-8928-7bd0a0d3a079
universityofmaryland,2020-03-04T17:30:47.136Z,,University of Maryland,01,Gosset Football Teamhouse,PRP9VRTJQT8V,02,refuse,6,75,f,,,38.990089,-76.945777,7.1,https://images.compology.com/1/raw_device_data/6a2eefd7-035b-4f54-ae34-7295bbf1a14a
